epoch,accuracy,loss,val_accuracy,val_loss
0,0.3789809048175812,3.456200122833252,0.3917197585105896,1.114324927330017
1,0.493630588054657,1.010571837425232,0.4394904375076294,1.1313234567642212
2,0.5382165312767029,0.9918678402900696,0.4904458522796631,1.0292277336120605
3,0.5668789744377136,0.8939686417579651,0.5796178579330444,0.9242240786552429
4,0.6082802414894104,0.8383569121360779,0.5923566818237305,0.9452900290489197
5,0.7038216590881348,0.7578256130218506,0.5828025341033936,0.961982786655426
6,0.7165604829788208,0.6826144456863403,0.5159235596656799,1.5604190826416016
7,0.7292993664741516,0.6356441974639893,0.5923566818237305,0.9345526099205017
8,0.7484076619148254,0.6151008605957031,0.6496815085411072,0.822371780872345
9,0.7388535141944885,0.6467189192771912,0.5923566818237305,1.0660301446914673
