epoch,accuracy,loss,val_accuracy,val_loss
0,0.11724138259887695,2.301704168319702,0.109375,2.6137475967407227
1,0.16206896305084229,2.147324323654175,0.234375,2.3469817638397217
2,0.21724137663841248,2.0706493854522705,0.25,2.248999834060669
3,0.2896551787853241,1.9618738889694214,0.265625,2.067676067352295
4,0.3103448152542114,1.8988639116287231,0.265625,1.9887603521347046
5,0.36206895112991333,1.804466724395752,0.359375,1.8721179962158203
6,0.3655172288417816,1.791548728942871,0.359375,1.845927357673645
7,0.40344828367233276,1.71969735622406,0.375,1.7905217409133911
8,0.4517241418361664,1.6809382438659668,0.390625,1.7134114503860474
9,0.45517241954803467,1.6467735767364502,0.421875,1.6602637767791748
10,0.46206897497177124,1.6455755233764648,0.390625,1.6338077783584595
11,0.5275862216949463,1.503186821937561,0.46875,1.6137778759002686
12,0.5310344696044922,1.4944829940795898,0.4375,1.5726768970489502
13,0.5379310250282288,1.4507516622543335,0.46875,1.5193018913269043
14,0.5551724433898926,1.4278794527053833,0.515625,1.4953651428222656
15,0.568965494632721,1.4082485437393188,0.546875,1.4700676202774048
16,0.6103448271751404,1.312813639640808,0.5625,1.4199674129486084
17,0.6068965792655945,1.2666300535202026,0.578125,1.4022974967956543
18,0.6275861859321594,1.2429665327072144,0.578125,1.3660476207733154
19,0.6689655184745789,1.1810264587402344,0.640625,1.305125117301941
20,0.682758629322052,1.116563320159912,0.640625,1.3287039995193481
21,0.6486486196517944,1.173293948173523,0.671875,1.2252204418182373
22,0.7172414064407349,1.054880976676941,0.65625,1.2778904438018799
23,0.7103448510169983,1.0570906400680542,0.59375,1.269341230392456
24,0.748275876045227,0.9675865173339844,0.578125,1.2918819189071655
25,0.7620689868927002,0.9579059481620789,0.609375,1.2705469131469727
26,0.7655172348022461,0.8682748079299927,0.625,1.2315680980682373
27,0.8034482598304749,0.8440077304840088,0.578125,1.288304328918457
28,0.817241370677948,0.8230859041213989,0.625,1.2298698425292969
29,0.8103448152542114,0.7839078307151794,0.625,1.2101563215255737
