epoch,acc,loss,val_acc,val_loss
0,0.17406143,2.200742911153279,0.08928572,2.4534683227539062
1,0.20608108,2.113307166743923,0.071428575,2.2745890276772633
2,0.26206896,2.0396253643364743,0.125,2.179477095603943
3,0.32764506,1.9515313524434998,0.14285715,2.169261625834874
4,0.36177474,1.8615346475672803,0.23214285,2.0931452001844133
5,0.4095563,1.7679858508777293,0.21428572,2.0516763074057445
6,0.45392492,1.7085400555320973,0.23214285,2.005514928272792
7,0.46075085,1.6637800663404498,0.3392857,1.9504475593566895
8,0.5324232,1.5772977729706228,0.32142857,1.9784836428506034
9,0.5153584,1.5465697326757801,0.32142857,1.8629093170166016
10,0.5904437,1.4616062698103869,0.375,1.7937473910195487
11,0.60750854,1.356783692340395,0.39285713,1.7311158691133772
12,0.6552901,1.2962206174896032,0.4107143,1.6688119854245866
13,0.63822526,1.2622023068190436,0.44642857,1.69273008619036
14,0.7094595,1.1511599357063707,0.42857143,1.6530705179486955
15,0.7137931,1.1614896297454833,0.4642857,1.601214919771467
16,0.72696245,1.0543370798179315,0.48214287,1.5337917804718018
17,0.7635135,1.0122235820100114,0.4642857,1.703200442450387
18,0.7482759,1.0396819250337008,0.39285713,1.790191684450422
19,0.78156996,0.9473460839470091,0.4107143,2.7064743041992188
